#{"t_start": 1732006326.2208889, "env_id": null}
r,l,t,level
-745.084703,3816,306.391973,1
491.556417,4657,688.54953,2
234.708356,1828,836.500114,2
671.748518,3367,1112.001692,2
201.480982,1418,1224.957304,2
81.058236,2174,1397.679697,2
-79.005836,4029,1718.579246,2
144.081009,1441,1833.340616,3
238.324586,2088,2001.804423,3
578.616454,5878,2485.01273,3
257.0141,1157,2577.707193,3
255.057676,1386,2688.621172,3
-23.023845,1461,2804.409496,3
217.821377,1329,2908.353936,4
329.659719,938,2982.956102,4
763.58129,3262,3246.21084,4
152.133885,1719,3381.981618,4
206.894272,1834,3526.787551,4
102.605863,2267,3705.087922,4
177.244834,1768,3843.454544,4
20.744131,9123,4565.020273,4
466.138231,4423,4916.098774,4
51.257484,6109,5406.40112,4
315.205592,4141,5742.066827,4
258.022407,3953,6062.044786,4
669.129115,2598,6279.276603,4
447.608444,3619,6583.553499,4
2184.140655,8505,7314.372241,4
319.193873,1300,7423.275235,4
869.352429,2652,7648.365513,4
237.297215,1446,7788.147607,4
271.104901,1311,7929.72628,4
-39.784505,2763,8167.137571,4
-190.145785,2925,8417.746616,4
507.701646,4251,8786.018153,4
375.586794,4872,9202.905393,4
373.543877,6389,9754.346993,4
628.80502,2933,10009.088586,4
459.173204,3527,10314.83794,5
332.538345,1222,10420.719093,5
835.732961,3139,10699.166504,5
41.35779,1264,10808.892793,5
220.401384,1795,10964.396065,5
-72.462452,3615,11273.703972,5
179.697053,1095,11366.624871,5
340.350114,5678,11853.370805,5
355.490917,5864,12355.927737,5
185.213231,7308,12984.104928,5
681.270987,3114,13253.178169,5
570.174544,3269,13534.499002,5
-19.507147,6999,14133.7579,5
229.44914,4994,14564.439894,5
2163.511316,8270,15292.177106,5
312.900067,1444,15416.324844,5
890.02551,3049,15682.878823,5
231.494547,1753,15832.20732,5
234.866211,1581,15966.669947,5
-338.941046,6433,16512.09432,5
-1289.190166,11877,17517.945024,5
521.799419,4581,17911.539662,5
622.089837,3819,18260.433821,5
396.498766,4617,18674.548498,5
631.744978,3231,18953.997483,5
719.359351,3607,19265.356965,5
358.015655,5832,19766.367816,6
291.655519,1921,19932.935774,6
828.545496,3962,20281.952436,6
131.59555,2819,20524.696517,6
201.909239,2252,20717.573472,6
69.037469,2518,20932.729718,6
118.285594,2209,21122.504298,6
-285.673972,4817,21536.57847,6
411.186861,4891,21959.800482,6
202.658591,6086,22484.612483,6
543.851188,5110,22962.998477,6
558.541046,5834,23728.393149,6
513.899394,4313,24238.143809,6
465.510987,6172,24779.194695,6
2385.130719,9092,25588.342725,6
242.143034,1515,25717.712748,6
884.157307,3788,26071.262697,6
196.933023,1666,26244.643409,6
-177.299894,3227,26519.329942,6
-404.954015,6049,27043.024549,6
-390.852473,4316,27406.220146,6
247.811561,7571,28051.691321,6
127.943594,5170,28497.424702,6
318.141479,6470,29142.250762,6
283.71905,4545,29592.398479,6
635.354593,4137,29993.329852,6
453.542532,4919,30469.685082,6
255.227941,2747,30735.58362,6
2353.951544,8826,31625.638247,6
384.734151,1048,31727.611237,6
663.635539,5498,32262.476082,6
149.710756,2348,32484.337414,6
-72.045486,2931,32764.422368,6
103.786699,1765,32930.824097,6
146.106777,1742,33094.182504,6
435.654267,5061,33580.632045,6
26.479622,5119,34322.529921,6
445.580671,5398,35174.166101,6
328.772342,5173,35999.871762,6
-13.104774,6271,36996.732689,6
263.952019,5398,37858.377307,6
-501.968966,9138,39287.916177,7
250.281283,2344,39650.75257,7
905.866446,3443,40199.259673,7
-250.639619,4507,40903.018031,7
-164.090509,3778,41481.654478,7
-232.453149,3116,41946.85949,7
-23.002939,2444,42323.62379,7
324.617249,4672,43064.559032,7
230.346422,6976,44176.11568,7
145.931729,7247,45341.771264,7
388.912456,4421,46046.165593,7
157.141696,7635,47262.381754,7
367.292056,4391,47956.559183,7
231.05071,5880,48877.867892,7
1735.098214,11115,50609.872931,7
556.834393,19149,53647.949818,7
745.987787,14921,55989.112734,7
1032.677837,12188,57930.477968,7
1528.747426,11557,59740.200706,7
486.619949,17042,62466.004066,7
810.271399,6636,63501.017087,7
352.909114,1244,63691.093336,7
933.576174,3072,64154.636467,7
231.998135,1601,64391.264191,7
258.206281,1631,64637.008499,7
166.133417,1790,64898.540663,7
34.071289,3342,65370.114205,7
325.754464,4578,66011.770116,7
215.871556,7330,66933.647931,7
113.168519,8567,67912.516359,7
178.898493,5260,68509.093508,7
371.005318,3236,68882.117968,7
432.437319,4810,69427.239141,7
480.937548,3770,69850.623378,7
1890.100937,11353,71096.163591,7
-467.019368,15717,72639.701151,7
561.404179,20229,74591.870491,7
976.196672,12179,75784.530697,7
930.532869,9977,76743.273652,7
-111.004772,6821,77402.429463,7
626.016571,6430,78021.641419,7
212.977708,2586,78266.049506,7
382.680457,7562,78985.898317,7
77.371895,1590,79134.522888,7
329.308381,1036,79231.711535,7
-261.694651,4213,79624.344793,7
-778.835502,3431,79945.719539,7
-33.11567,7753,80680.62396,7
-809.587571,9577,81556.729182,7
133.973939,6835,82207.410219,7
-77.164839,7584,82977.362879,7
432.481854,6677,83654.36743,7
558.110577,4128,84070.144213,7
697.671393,4030,84471.097586,7
2417.800348,9306,85420.709801,7
1520.626998,9316,86361.904114,7
828.083877,15430,87853.622397,7
1645.854254,6775,88473.587006,7
933.017098,12145,89577.059306,7
1337.808098,12517,90729.277493,7
615.783804,8995,91560.077091,7
95.903055,2468,91786.177263,7
847.493679,4014,92155.184268,7
139.245267,1680,92306.079723,7
261.306312,1529,92443.622535,7
-524.696674,4562,92852.07566,7
203.608063,1659,93000.682295,7
289.966101,6379,93577.629093,7
259.630692,6009,94121.000443,7
277.794724,8024,94847.752946,7
530.657688,3667,95205.803671,7
275.166546,6549,95803.816379,7
527.913786,4644,96215.531708,7
318.286909,5958,96738.660972,7
2295.117601,10418,97684.881643,7
1171.599467,16391,99185.106181,7
1008.390951,16747,100716.39818,7
162.037604,10417,101697.134777,7
1050.325065,13027,102780.736135,7
78.019329,23277,104612.659301,7
113.12581,12904,105636.23584,7
85.372407,3887,105937.135531,7
717.110444,3558,106218.685205,7
192.605476,2373,106402.021044,7
293.24226,1389,106509.103885,7
41.691198,2842,106727.101402,7
-231.259667,3707,107011.255033,7
-1356.241989,16318,108282.412367,7
-155.439446,9590,109031.170324,7
18.148539,2823,109252.330064,7
299.11946,5637,109693.913701,7
-615.046759,11434,110868.466899,7
77.231169,8749,112008.762495,7
516.757465,5504,112726.923427,7
2152.22187,11112,114200.262914,7
970.688984,7922,115244.750149,7
1153.20339,14349,117135.311333,7
1678.89805,6906,118047.419338,7
460.734663,12754,119711.36022,7
921.964529,6024,120498.013169,7
845.158352,6119,121205.612134,7
55.256735,4327,121709.255636,7
645.655309,5654,122448.479038,7
217.26819,1382,122624.980702,7
-348.977504,3572,123081.201147,7
-22.24374,3159,123485.889569,7
-209.961765,3063,123876.361799,7
-224.179006,9105,125043.448977,7
123.510465,5441,125741.190969,7
542.150264,4792,126357.852263,7
427.572209,4970,126996.87006,7
205.608983,7365,127942.913285,7
0.544655,9764,129192.40107,7
290.347409,7496,130159.112922,7
2358.353303,8965,131334.948371,7
1080.285408,12022,132760.08443,7
1406.26789,12426,134376.908695,7
1609.843688,7708,135379.438997,7
1054.824927,9209,136566.09402,7
1239.571801,13557,138324.024279,7
-176.01496,16199,140425.559797,7
185.88012,3069,140820.437988,7
865.381841,3706,141301.03139,7
40.584647,1502,141491.816845,7
258.72909,1842,141723.857312,7
-807.438942,8336,142772.022287,7
-728.502487,6768,143526.104841,7
449.294961,4998,144114.223083,7
191.347192,4496,144681.07904,7
333.146085,4478,145248.347761,7
19.899883,9558,146458.533828,7
-156.506627,8762,147581.480861,7
207.846647,7703,148565.129441,7
-37.035319,9362,149759.723461,7
2287.499317,10011,151071.11706,7
834.600285,13428,152811.380063,7
1617.503066,12975,154453.242534,7
1638.2021,7532,155357.381436,7
1350.878902,13738,158289.953758,7
514.271951,16984,161573.226785,7
161.569718,12995,165438.894203,7
212.652595,2362,166224.466471,7
689.786892,4801,167548.504869,7
279.884878,1421,167859.657302,7
280.376913,1505,168039.570905,7
-528.95359,8764,168926.682179,7
-35.306179,1979,169139.097034,7
520.41727,4966,169664.787625,7
538.45708,5538,170250.364345,7
-376.945059,10505,171355.814421,7
568.383569,4915,171876.871247,7
194.384043,4693,172373.905032,7
659.137119,3547,172747.22315,7
238.473835,8758,173616.914847,7
2337.378274,9681,174064.505293,7
928.101561,8180,174415.048022,7
1502.083371,13106,174953.238884,7
1609.101253,7141,175313.474138,7
1333.915472,13818,175885.512735,7
1713.864475,11343,176445.1452,7
274.771266,12453,177332.866657,7
201.10696,2878,177532.747671,7
908.952308,3382,177771.589869,7
250.183758,1460,177873.514394,7
294.009761,1350,177965.75056,7
-646.128802,7147,178455.374236,7
-109.910179,1834,178582.270807,7
252.395675,4182,178875.067798,7
397.39575,6672,179342.305229,7
-156.795438,10322,180059.119559,7
88.438645,6420,180505.768746,7
599.503363,5464,180886.399114,7
645.344934,3561,181133.990994,7
229.96162,6205,181564.411318,7
2389.666034,9016,182214.498812,7
-260.779818,23283,183879.860921,7
1650.806481,13101,184971.05091,7
1525.178082,6912,185735.981076,7
1398.943348,13974,187271.095269,7
809.728197,18687,189308.530829,7
575.810706,9551,190208.236338,7
262.428028,2270,190406.4852,7
916.361407,3481,190789.280683,7
228.711118,1805,190988.598086,7
281.690757,1550,191158.748548,7
13.760381,3808,191572.572569,7
168.075739,1702,191757.753165,7
201.858825,6007,192414.959509,7
675.941253,4038,192858.830845,7
378.289423,4027,193300.627445,7
439.190472,5028,193851.942569,7
464.219678,6290,194550.16732,7
654.287088,3659,194954.853412,7
556.054591,5275,195536.924806,7
2385.444776,9649,196442.995106,7
941.243894,6710,197192.040337,7
1954.673179,9753,198278.648043,7
1365.191194,7658,199132.148813,7
1325.617766,8758,200094.251551,7
1738.781265,11253,201329.326412,7
487.579881,9958,202271.184142,7
356.278836,1298,202412.465491,7
880.310277,3794,202839.525746,7
203.408433,2238,203086.373041,7
300.987094,1404,203239.634353,7
-138.685987,3674,203641.128503,7
180.224055,1995,203857.858531,7
275.433935,6984,204619.686895,7
597.304876,4455,205107.967785,7
-420.364835,6171,205779.665626,7
685.017489,3827,206195.903553,7
470.534767,6706,206925.198533,7
683.018706,3374,207292.311678,7
239.026411,4777,207750.197085,7
2355.604587,9279,208680.591474,7
198.178571,21264,211004.892648,7
870.845138,20484,213223.344097,7
1349.358997,7302,213906.712519,7
875.106689,8809,214786.564343,7
1304.229985,14426,216316.947101,7
425.36204,9411,217319.138896,7
329.613978,1220,217447.568774,7
876.714155,3778,217850.819867,7
167.540528,2532,218115.825868,7
-114.494988,3688,218501.998897,7
-401.503449,7492,219284.101432,7
-16.114492,3721,219620.129421,7
591.127248,4436,220011.628586,7
570.650152,5266,220541.904648,7
597.929033,4320,221005.271071,7
586.210933,3757,221402.882221,7
725.617657,4315,221859.962652,7
214.881595,8002,222703.939136,7
196.974463,8631,223611.469928,7
2407.65625,8437,224513.280416,7
1026.239377,10490,225575.27371,7
1272.721241,14798,226707.519696,7
1168.284245,11170,227477.963696,7
314.662244,22184,228985.149148,7
755.256381,14607,229989.045636,7
570.392834,9092,230609.597603,7
342.428482,1434,230705.634429,7
742.272442,4677,231030.515318,7
178.33151,1868,231156.207423,7
294.026673,1447,231256.734399,7
-185.040707,5212,231601.199791,7
-16.081829,3891,231859.072904,7
563.590401,4224,232148.398085,7
641.936183,4347,232445.836179,7
357.656458,6168,232869.514302,7
97.777489,2276,233023.175855,7
563.927583,5331,233384.132182,7
630.965584,3560,233626.129396,7
440.138967,5334,233993.304949,7
2406.122532,9124,234686.702787,7
1071.857557,7218,235233.048723,7
1787.900824,11078,236084.207976,7
1486.042449,7430,236666.176096,7
696.210731,9114,237362.459656,7
801.767716,12859,238372.217404,7
338.352387,11570,239272.45551,7
340.545448,1508,239386.254759,7
885.067803,3473,239652.999852,7
253.439964,1573,239771.150177,7
240.444943,1802,239906.537022,7
-147.041515,4858,240276.831978,7
186.001232,2029,240436.223284,7
176.504885,7688,241049.100152,7
-0.362727,9329,241789.841241,7
326.482293,4284,242128.845801,7
8.548847,9558,242889.175506,7
486.927233,3821,243194.949173,7
651.915788,3473,243473.034767,7
642.980303,3822,243781.045331,7
2397.894539,8761,244498.987639,7
1462.927654,14189,245638.755356,7
1090.446837,13488,246723.397245,7
1535.975572,8185,247383.58894,7
1175.418817,11187,248278.29182,7
1238.797786,13193,249335.101537,7
516.689835,9930,250135.898644,7
355.352724,1228,250233.037151,7
900.028865,3465,250511.999481,7
287.170425,1254,250610.441134,7
235.906115,1880,250759.397405,7
-110.405442,3799,251058.885268,7
-363.606685,6215,251543.747489,7
440.310789,5086,251945.812226,7
563.999954,4337,252290.093603,7
495.155848,5842,252752.937678,7
700.245719,3422,253028.739563,7
464.951505,5588,253482.701356,7
672.238124,3393,253758.772048,7
371.645656,4985,254162.453575,7
2359.722515,9109,254907.501795,7
1046.19289,17718,256333.300815,7
1772.300183,11494,257333.731846,7
1502.393812,7263,258286.615427,7
1128.375558,16586,260303.387029,7
979.948758,14005,262005.502326,7
0.175283,14457,263752.245574,7
357.720086,1213,263900.396515,7
933.17603,3206,264290.263489,7
295.621356,1334,264451.935526,7
304.45757,1313,264613.780368,7
-290.5497,5745,265357.766477,7
-368.206529,5168,266017.946257,7
329.715229,6130,266777.156813,7
702.369327,3761,267257.033535,7
643.714363,3798,267724.746399,7
741.593767,3225,268115.964705,7
754.683833,4015,268601.813876,7
630.504329,3685,269045.866159,7
526.855821,5314,269582.384047,7
2469.574985,8695,270284.956583,7
1113.655253,17621,271698.241524,7
1580.517628,8079,272354.601273,7
1481.488016,7450,272961.133308,7
1611.688033,10296,273788.545368,7
1351.034522,8580,274483.797071,7
670.236909,8273,275156.294671,7
372.795459,1018,275237.796583,7
825.476326,4063,275567.165205,7
78.649303,1576,275692.048829,7
294.109861,1433,275805.786783,7
-116.298612,2924,276035.785108,7
15.98181,2321,276217.652172,7
643.870669,3616,276508.089677,7
724.423035,3242,276767.412293,7
243.783067,4182,277100.66839,7
567.890724,4327,277447.197213,7
318.302768,7862,278080.640687,7
331.563803,4822,278466.448331,7
480.498599,6100,278957.661024,7
2320.173687,9990,279778.285986,7
902.983951,15143,281006.260468,7
1249.67316,11616,281949.533078,7
1298.461049,9991,282761.865297,7
762.659505,6191,283261.139224,7
1468.490491,14327,284394.660256,7
828.415636,5287,284811.717197,7
312.100033,1693,284943.727121,7
941.072132,2895,285173.879193,7
300.406342,1112,285259.965095,7
265.713297,1703,285391.179505,7
-289.601001,6149,285862.708983,7
-224.623358,3687,286145.684277,7
644.882237,3852,286445.635493,7
-30.701122,8743,287129.112728,7
238.269141,7941,287749.12981,7
551.881385,5187,288154.323872,7
585.803644,5271,288567.609019,7
567.189706,4090,288885.907807,7
496.615362,5749,289336.754546,7
2407.047024,9089,290063.631483,7
749.039165,6816,290599.556159,7
838.068434,17693,291989.944922,7
1581.288994,7730,292603.657216,7
959.203382,6890,293146.220738,7
782.69995,15840,294397.652792,7
82.260591,13948,295500.618113,7
302.113351,1862,295645.474304,7
640.624534,4367,295990.037077,7
282.989681,1450,296103.143451,7
46.243527,1654,296221.222675,7
-949.875903,9712,296561.86612,7
-52.934513,2092,296633.039018,7
468.72914,4693,296804.121783,7
352.849442,7474,297074.537189,7
601.070147,4720,297250.347729,7
694.778378,3657,297395.037576,7
685.755601,3875,297550.891692,7
395.124195,5834,297764.177917,7
393.022663,6729,298013.464324,7
2441.820875,8191,298385.209653,7
672.587336,10583,298824.232156,7
1597.230649,12348,299321.517061,7
1688.504071,6560,299593.123501,7
353.280578,4844,299777.834807,7
1422.007128,8014,300120.85788,7
2.397921,15067,300731.317119,7
359.791184,1199,300772.036998,7
929.89436,3211,300903.296691,7
272.332809,1577,300957.338467,7
252.790601,1507,301009.875931,7
-156.332153,4650,301165.373819,7
-150.071633,4273,301307.343228,7
226.443219,6051,301524.778548,7
312.352021,6878,301769.456175,7
607.684838,4172,301918.896989,7
340.166361,5288,302107.201102,7
703.051915,3635,302243.850345,7
472.410223,4000,302388.202872,7
499.270748,5822,302607.939988,7
1838.613274,11947,303116.701247,7
646.700258,12245,303587.727732,7
1006.682803,13262,304117.739448,7
1682.002142,6658,304402.115277,7
994.978967,8655,304744.896744,7
756.518608,14535,305322.665232,7
651.290222,5661,305561.414908,7
351.091467,1291,305610.582613,7
900.701203,3381,305756.066246,7
246.403397,1841,305823.832227,7
155.378494,2909,305920.847439,7
20.840122,2626,306007.070975,7
-501.125903,4347,306147.3532,7
605.593507,4334,306304.828085,7
297.602371,6181,306530.117863,7
366.046986,5307,306721.735146,7
638.307345,4173,306873.317541,7
785.56881,3260,306992.102669,7
447.744052,4673,307157.83835,7
568.254264,5187,307341.467302,7
2369.869547,9160,307750.16775,7
1098.102052,6005,307995.185856,7
1596.470954,12378,308812.466825,7
1151.479385,12135,309701.195314,7
899.326249,12617,310617.40474,7
1497.595561,12584,311531.892302,7
1379.106693,8416,312149.277892,7
381.597773,1008,312223.2076,7
857.534432,3903,312509.291888,7
236.929429,1338,312604.712223,7
99.16123,3244,312834.657273,7
-382.316486,3751,313100.834609,7
-188.191373,2982,313310.452075,7
389.362261,6091,313748.893229,7
205.567378,7293,314273.632279,7
-5.472363,2386,314442.651279,7
583.394757,4672,314776.211563,7
379.214475,6819,315164.445291,7
333.885215,6222,315384.723906,7
524.911699,4483,315550.174033,7
2258.136926,9124,315942.545861,7
1297.373331,7616,316246.210993,7
291.519414,18514,316997.413902,7
1410.382561,9334,317383.039888,7
737.235261,10012,317765.866339,7
1480.515784,11048,318205.490237,7
368.588112,11037,318646.23691,7
317.364483,1547,318703.59463,7
880.800246,3549,318847.588522,7
268.542029,1589,318902.527259,7
173.236767,2693,318993.465905,7
211.669445,1841,319053.648682,7
135.757526,2129,319122.553952,7
419.120908,5785,319323.091054,7
540.517978,4180,319488.756015,7
482.122609,4725,319680.119401,7
53.082694,5524,319884.347764,7
643.707309,4510,320061.023682,7
466.440822,5518,320262.328481,7
391.346235,5430,320468.285712,7
2454.406929,8465,320851.232382,7
1118.622771,9628,321488.301639,7
1797.120323,11374,322272.692357,7
1729.533681,6435,322725.405056,7
1230.429587,15271,323883.786605,7
1116.860456,14380,325202.839308,7
789.519274,7536,326156.191183,7
292.54364,1752,326366.079842,7
870.411101,3754,326799.067002,7
293.015162,1369,326958.702221,7
280.215543,1541,327137.89151,7
179.379429,1951,327366.158547,7
23.261301,1883,327587.333566,7
113.493429,9230,328662.384948,7
635.53642,3830,329111.570035,7
601.055553,4416,329629.291219,7
421.63027,4687,330180.166097,7
496.602165,6338,330926.668854,7
489.941554,4992,331516.365598,7
416.120301,6829,332323.096007,7
2498.624911,8100,333262.515057,7
265.079829,2848,333596.12391,7
1175.449357,13424,335155.102374,7
1664.698366,6720,335910.782122,7
1462.65431,9499,336774.396858,7
1259.133471,10780,337602.287654,7
-324.679441,17875,338981.801929,7
229.511632,1899,339126.314359,7
992.450104,2610,339327.879668,7
286.941521,1413,339434.388821,7
254.615162,1873,339575.399721,7
-274.791427,4465,339908.608955,7
-46.251623,3090,340139.774914,7
377.457124,6659,340645.217201,7
541.781196,4645,340996.592611,7
434.163095,5551,341417.338696,7
653.964756,4204,341736.52292,7
-159.253145,8460,342380.614856,7
534.156985,4652,342733.271064,7
610.232563,3992,343035.300353,7
2179.507678,11450,343927.629938,7
215.456125,22847,345680.31958,7
755.343815,15791,346893.401477,7
1122.600591,11444,347776.349301,7
1097.17115,7693,348361.723104,7
1310.626474,14322,349454.951163,7
451.188591,10119,350236.685385,7
236.257807,2254,350407.91802,7
767.402624,4149,350727.827057,7
243.784536,1804,350863.932214,7
175.800568,2672,351064.917085,7
-34.150081,2957,351286.046481,7
-55.85363,4437,351616.691295,7
310.485916,5636,352041.248372,7
522.74084,4902,352412.789609,7
238.144237,6026,352867.403496,7
535.031108,5108,353254.476414,7
689.883186,4426,353592.969171,7
498.11956,4378,353924.618939,7
512.371364,4879,354295.198387,7
2242.500387,9654,355049.484087,7
597.091446,20840,356655.232391,7
1611.025391,13218,357674.989742,7
1369.552608,9014,358373.869709,7
1192.344399,10173,359153.264328,7
1411.565822,14318,360255.712365,7
463.098955,10416,361061.74187,7
297.91618,1884,361205.259031,7
967.738532,2816,361422.789462,7
282.21403,1487,361534.971883,7
194.724917,2297,361708.189981,7
47.864007,2524,361897.402848,7
-37.907366,1957,362043.73826,7
557.019499,4421,362379.427614,7
419.163805,5906,362827.252042,7
368.106845,5470,363242.612323,7
452.841725,6132,363708.943366,7
636.660989,4893,364083.138426,7
328.728665,4210,364403.255979,7
562.263147,5348,364808.576676,7
1723.604225,11675,365709.822906,7
-190.548331,1919,365858.885645,7
1159.191463,17296,367183.859197,7
996.990441,10554,367998.350478,7
189.356273,5395,368410.555927,7
1329.188339,14226,369500.287685,7
856.239365,5607,369933.609137,7
355.310639,1221,370026.597844,7
686.393105,5363,370444.644388,7
221.351757,1872,370585.64247,7
127.791646,2935,370805.598183,7
-288.887666,4623,371152.397825,7
-245.151707,5412,371556.238302,7
436.61987,5607,371980.581249,7
